Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
F4HWC3	Q9ZSD4	F4HWC3	SYP121	F9H16.4|F9H16_4	F26K24.11	LOCUS:2037365	LOCUS:2081476	24556609:0004:HT|24556609:0007:HT
F4HXV6	O22224	NUP155	NUP93A	F10B6.25	T32G6.14	LOCUS:2006802	LOCUS:2062693	21189294:0004:HT
F4HXV6	Q24JJ9	NUP155	NUP43	F10B6.25	F6I18.250	LOCUS:2006802	LOCUS:2126689	21189294:0004:HT
F4HXV6	Q38942	NUP155	RAE1	F10B6.25	F23A5.2	LOCUS:2006802	LOCUS:2025732	21189294:0004:HT
F4HXV6	Q9CAF4	NUP155	NUP1	F10B6.25	F13M14.6|F18K10.27	LOCUS:2006802	LOCUS:2075785	21189294:0004:HT
F4HXV6	Q9FWS3	NUP155	CG1	F10B6.25	F1B16.12	LOCUS:2006802	LOCUS:2018452	21189294:0004:HT
F4HZB2	P42752	SPI	CYCD2-1	F10O3.12	F14M13.11	LOCUS:2007514		20706207:0004:HT|20706207:0676:HT
F4HZX7	Q9C613	OFUT8	SAMBA	F28N24.11	F27G20.14	LOCUS:2029984	LOCUS:2028296	20706207:0004:HT|20706207:0676:HT
F4HZY1	Q9CAG1	F4HZY1	Q9CAG1	F28N24.10|F28N24_10	F12B7.13|F12B7_13	LOCUS:2029979	LOCUS:2008595	20706207:0004:HT|20706207:0676:HT
F4HZY1	Q9FGW5	F4HZY1	CDKG1	F28N24.10|F28N24_10	K9H21.7	LOCUS:2029979	LOCUS:2158554	20706207:0004:HT|20706207:0676:HT
F4I241	F4J2K4	BUB3.3	KIN7O	F10D13.23|F23O10.3	F14P13.23/F14P13.22	LOCUS:2026446	LOCUS:2076294	20706207:0004:HT|20706207:0676:HT
F4I241	P28769	BUB3.3	CCT1	F10D13.23|F23O10.3	MAL21.5	LOCUS:2026446	LOCUS:2087605	20706207:0004:HT|20706207:0676:HT
F4I241	P54887	BUB3.3	P5CSA	F10D13.23|F23O10.3	T5I7.10	LOCUS:2026446	LOCUS:2063907	20706207:0004:HT|20706207:0676:HT
F4I241	P57741	BUB3.3	P57741	F10D13.23|F23O10.3	K6M13.5	LOCUS:2026446	LOCUS:2157819	20706207:0004:HT|20706207:0676:HT
F4I241	Q38859	BUB3.3	NRPB11	F10D13.23|F23O10.3	F4F15.200	LOCUS:2026446		20706207:0004:HT|20706207:0676:HT
F4I241	Q39209	BUB3.3	RNP-D	F10D13.23|F23O10.3		LOCUS:2026446		20706207:0676:HT
F4I241	Q41969	BUB3.3	EIF2B	F10D13.23|F23O10.3	F22D1.90	LOCUS:2026446	LOCUS:2147162	20706207:0004:HT|20706207:0676:HT
F4I241	Q5XF12	BUB3.3	Q5XF12	F10D13.23|F23O10.3		LOCUS:2026446	LOCUS:2014983	20706207:0004:HT|20706207:0676:HT
F4I241	Q6NLH0	BUB3.3	NRPB9A	F10D13.23|F23O10.3	K14A17	LOCUS:2026446	LOCUS:2086042	20706207:0004:HT|20706207:0676:HT
F4I241	Q84WV1	BUB3.3	CCT3	F10D13.23|F23O10.3	F9D12.18	LOCUS:2026446	LOCUS:2151084	20706207:0004:HT|20706207:0676:HT
F4I241	Q95748	BUB3.3	NAD9	F10D13.23|F23O10.3		LOCUS:2026446		20706207:0676:HT
F4I241	Q9C5K8	BUB3.3	TIFY3B	F10D13.23|F23O10.3	F22D1.70	LOCUS:2026446	LOCUS:2147142	20706207:0676:HT
F4I241	Q9FMF5	BUB3.3	RPT3	F10D13.23|F23O10.3	MSJ1.17	LOCUS:2026446	LOCUS:2173418	20706207:0004:HT|20706207:0676:HT
F4I241	Q9LMX4	BUB3.3	PAP1	F10D13.23|F23O10.3	F21F23.18	LOCUS:2026446	LOCUS:2023870	20706207:0004:HT|20706207:0676:HT
F4I241	Q9M4B5	BUB3.3	AIP3	F10D13.23|F23O10.3	F22O13.27	LOCUS:2026446	LOCUS:2025655	20706207:0004:HT|20706207:0676:HT
F4I241	Q9SF16	BUB3.3	CCT7	F10D13.23|F23O10.3	F26K24.12	LOCUS:2026446	LOCUS:2081491	20706207:0004:HT|20706207:0676:HT
